DEBUG:18/03/2025 17:13:26 Medida(media, maximo)=-1,-1 dB    Time=1742314406.3099954

DEBUG:18/03/2025 17:13:26 Executing finally clause.
DEBUG:18/03/2025 17:27:42 Medida(media, maximo)=-1,-1 dB    Time=1742315262.382242

DEBUG:18/03/2025 17:27:43 Medida(media, maximo)=-1,-1 dB    Time=1742315263.3830533

DEBUG:18/03/2025 17:27:44 Medida(media, maximo)=-1,-1 dB    Time=1742315264.384673

DEBUG:18/03/2025 17:27:45 Medida(media, maximo)=-1,-1 dB    Time=1742315265.3866024

DEBUG:18/03/2025 17:27:46 Medida(media, maximo)=-1,-1 dB    Time=1742315266.3876822

DEBUG:18/03/2025 17:27:47 Medida(media, maximo)=-1,-1 dB    Time=1742315267.3890655

DEBUG:18/03/2025 17:27:48 Medida(media, maximo)=-1,-1 dB    Time=1742315268.3911843

DEBUG:18/03/2025 17:27:49 Medida(media, maximo)=-1,-1 dB    Time=1742315269.3922575

DEBUG:18/03/2025 17:27:50 Medida(media, maximo)=-1,-1 dB    Time=1742315270.394477

DEBUG:18/03/2025 17:27:51 Medida(media, maximo)=-1,-1 dB    Time=1742315271.3951406

DEBUG:18/03/2025 17:27:51 Executing finally clause.
DEBUG:18/03/2025 17:28:44 Medida(media, maximo)=(-1, -1) dB    Time=1742315324.8207862

DEBUG:18/03/2025 17:28:45 Medida(media, maximo)=(-1, -1) dB    Time=1742315325.8217754

DEBUG:18/03/2025 17:28:46 Medida(media, maximo)=(-1, -1) dB    Time=1742315326.8236067

DEBUG:18/03/2025 17:28:47 Medida(media, maximo)=(-1, -1) dB    Time=1742315327.8244882

DEBUG:18/03/2025 17:28:48 Medida(media, maximo)=(-1, -1) dB    Time=1742315328.825311

DEBUG:18/03/2025 17:28:49 Medida(media, maximo)=(-1, -1) dB    Time=1742315329.82628

DEBUG:18/03/2025 17:28:50 Medida(media, maximo)=(-1, -1) dB    Time=1742315330.828915

DEBUG:18/03/2025 17:28:51 Medida(media, maximo)=(-1, -1) dB    Time=1742315331.8304827

DEBUG:18/03/2025 17:28:52 Medida(media, maximo)=(-1, -1) dB    Time=1742315332.8326783

DEBUG:18/03/2025 17:28:53 Medida(media, maximo)=(-1, -1) dB    Time=1742315333.8334324

DEBUG:18/03/2025 17:28:53 Executing finally clause.
DEBUG:18/03/2025 17:28:54 Medida(media, maximo)=-1,-1 dB    Time=1742315334.9036264

DEBUG:18/03/2025 17:28:55 Medida(media, maximo)=-1,-1 dB    Time=1742315335.9062269

DEBUG:18/03/2025 17:28:56 Medida(media, maximo)=-1,-1 dB    Time=1742315336.9073067

DEBUG:18/03/2025 17:28:57 Medida(media, maximo)=-1,-1 dB    Time=1742315337.9082851

DEBUG:18/03/2025 17:28:58 Medida(media, maximo)=-1,-1 dB    Time=1742315338.9090018

DEBUG:18/03/2025 17:28:59 Medida(media, maximo)=-1,-1 dB    Time=1742315339.9101791

DEBUG:18/03/2025 17:29:00 Medida(media, maximo)=-1,-1 dB    Time=1742315340.911205

DEBUG:18/03/2025 17:29:01 Medida(media, maximo)=-1,-1 dB    Time=1742315341.9130228

DEBUG:18/03/2025 17:29:02 Medida(media, maximo)=-1,-1 dB    Time=1742315342.915033

DEBUG:18/03/2025 17:29:03 Medida(media, maximo)=-1,-1 dB    Time=1742315343.916098

DEBUG:18/03/2025 17:29:03 Executing finally clause.
DEBUG:18/03/2025 17:45:07 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316307.4453485

